Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Asphalt shingles,Dark,None,,18A-0 ad,18A-0,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-11,18A-11 ad,18A-11,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-13,18A-13 ad,18A-13,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-15,18A-15 ad,18A-15,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-19,18A-19 ad,18A-19,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-21,18A-21 ad,18A-21,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-30,18A-30 ad,18A-30,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Blanket or loose fill,R-38,18A-38 ad,18A-38,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-2,18A-2 ad,18A-2,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-3,18A-3 ad,18A-3,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-4,18A-4 ad,18A-4,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-5,18A-5 ad,18A-5,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-6,18A-6 ad,18A-6,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-8,18A-8 ad,18A-8,
Ceiling below roof joists,,,,,Asphalt shingles,Dark,Board insulation,R-10,18A-10 ad,18A-10,
Ceiling below roof joists,,,,,Asphalt shingles,Light,None,,18B-0 al,18B-0,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-11,18B-11 al,18B-11,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-13,18B-13 al,18B-13,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-15,18B-15 al,18B-15,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-19,18B-19 al,18B-19,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-21,18B-21 al,18B-21,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-30,18B-30 al,18B-30,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Blanket or loose fill,R-38,18B-38 al,18B-38,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-2,18B-2 al,18B-2,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-3,18B-3 al,18B-3,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-4,18B-4 al,18B-4,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-5,18B-5 al,18B-5,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-6,18B-6 al,18B-6,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-8,18B-8 al,18B-8,
Ceiling below roof joists,,,,,Asphalt shingles,Light,Board insulation,R-10,18B-10 al,18B-10,
Ceiling below roof joists,,,,,Asphalt shingles,White,None,,18B-0 aw,18B-0,
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-11,18B-11 aw,18B-11,
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-13,18B-13 aw,18B-13,
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-15,18B-15 aw,18B-15,
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-19,18B-19 aw,18B-19,
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-21,18B-21 aw,18B-21,
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-30,18B-30 aw,18B-30,
Ceiling below roof joists,,,,,Asphalt shingles,White,Blanket or loose fill,R-38,18B-38 aw,18B-38,
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-2,18B-2 aw,18B-2,
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-3,18B-3 aw,18B-3,
Ceiling below roof joists,,,,,Asphalt shingles,White,Board insulation,R-4,18B-4 aw,18B-4,
